"","lx","lc","nlx","nlc","Ec_m"
"64",-0.6177,-0.0311,-0.0978,0.0241,-0.6968
"65",-0.6177,-0.0311,-0.0978,0.0241,-0.6969
"66",-0.6177,-0.0311,-0.0978,0.0241,-0.6968
"67",-3.187,-0.0522,-0.4476,0.046,-3.7089
"68",-0.7127,-0.0328,-0.1121,0.0256,-0.8048
"69",-0.7127,-0.0328,-0.1122,0.0256,-0.8048
"70",-0.7128,-0.0328,-0.1122,0.0256,-0.8048
"71",-0.7127,-0.0328,-0.1121,0.0256,-0.8048
"72",-0.1231,-0.0156,-0.0188,0.0091,-0.1413
"73",-3.187,-0.0522,-0.4476,0.046,-3.7089
"74",-0.7128,-0.0328,-0.1122,0.0256,-0.8048
"75",-0.7127,-0.0328,-0.1121,0.0256,-0.8048
"76",-0.7127,-0.0328,-0.1121,0.0256,-0.8048
"77",-0.7127,-0.0328,-0.1121,0.0256,-0.8048
"78",-0.1231,-0.0156,-0.0188,0.0091,-0.1413
"79",-3.4701,-0.0534,-0.4868,0.0472,-4.0385
"80",-0.8063,-0.0343,-0.1265,0.027,-0.9105
"81",-0.8125,-0.0344,-0.1273,0.0271,-0.9176
"82",-0.808,-0.0344,-0.1268,0.027,-0.9124
"83",-0.8097,-0.0344,-0.1269,0.027,-0.9144
"84",-0.1673,-0.018,-0.0242,0.011,-0.1919
"85",-0.1675,-0.018,-0.0242,0.011,-0.1921
"86",-3.4705,-0.0534,-0.4868,0.0472,-4.0389
"87",-0.8055,-0.0343,-0.1264,0.027,-0.9099
"88",-0.8056,-0.0343,-0.1265,0.027,-0.91
"89",-0.8053,-0.0343,-0.1264,0.027,-0.9097
"90",-0.8052,-0.0343,-0.1264,0.027,-0.9095
"91",-0.1546,-0.0175,-0.0246,0.0107,-0.1766
"92",-3.7545,-0.0545,-0.526,0.0482,-4.3691
"93",-0.9129,-0.0359,-0.1423,0.0283,-1.031
"94",-0.9099,-0.0359,-0.1419,0.0283,-1.0277
"95",-0.8984,-0.0357,-0.1407,0.0282,-1.0147
"96",-0.9106,-0.0359,-0.142,0.0283,-1.0284
"97",-0.1995,-0.0195,-0.0296,0.0125,-0.2273
"98",-0.1976,-0.0194,-0.0296,0.0124,-0.2245
"99",-0.1976,-0.0194,-0.0296,0.0124,-0.2245
"100",-3.7546,-0.0545,-0.526,0.0482,-4.3693
"101",-0.8978,-0.0357,-0.1405,0.0282,-1.0144
"102",-0.8981,-0.0357,-0.1405,0.0282,-1.0148
"103",-0.8979,-0.0357,-0.1405,0.0282,-1.0146
"104",-0.8973,-0.0357,-0.1404,0.0282,-1.0138
"105",-0.181,-0.0189,-0.0294,0.0119,-0.2063
"106",-4.0406,-0.0555,-0.5656,0.0493,-4.7014
"107",-1.0085,-0.0372,-0.1568,0.0295,-1.1388
"108",-1.0085,-0.0372,-0.1568,0.0295,-1.1388
"109",-1.0085,-0.0372,-0.1569,0.0295,-1.1387
"110",-1.0085,-0.0372,-0.1568,0.0295,-1.1388
"111",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"112",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"113",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"114",-0.2266,-0.0207,-0.035,0.0137,-0.2556
"115",-4.0402,-0.0555,-0.5656,0.0493,-4.7013
"116",-0.9895,-0.0369,-0.1546,0.0293,-1.118
"117",-0.9895,-0.0369,-0.1546,0.0293,-1.118
"118",-0.9892,-0.0369,-0.1546,0.0293,-1.1178
"119",-0.9895,-0.0369,-0.1546,0.0293,-1.118
"120",-0.2059,-0.0201,-0.0337,0.0128,-0.2344
"121",-4.3237,-0.0565,-0.6045,0.0502,-5.0306
"122",-1.1034,-0.0383,-0.1713,0.0305,-1.2457
"123",-1.1034,-0.0383,-0.1713,0.0305,-1.2458
"124",-1.1034,-0.0383,-0.1713,0.0305,-1.2458
"125",-1.1034,-0.0383,-0.1713,0.0305,-1.2458
"126",-0.2583,-0.022,-0.0402,0.0148,-0.2913
"127",-0.2573,-0.0219,-0.0401,0.0148,-0.2899
"128",-0.255,-0.0218,-0.04,0.0148,-0.287
"129",-0.2565,-0.0219,-0.0401,0.0148,-0.289
"130",-4.3236,-0.0565,-0.6045,0.0502,-5.0307
"131",-1.0813,-0.038,-0.1688,0.0304,-1.2214
"132",-1.0924,-0.0382,-0.17,0.0304,-1.2338
"133",-1.0988,-0.0382,-0.1707,0.0305,-1.241
"134",-1.081,-0.038,-0.1688,0.0304,-1.2211
"135",-0.2618,-0.0221,-0.0393,0.0147,-0.2989
"136",-0.2623,-0.0222,-0.0392,0.0147,-0.2997
"137",-4.6083,-0.0574,-0.6439,0.0511,-5.3615
"138",-1.198,-0.0394,-0.1858,0.0315,-1.3523
"139",-1.1977,-0.0394,-0.1857,0.0315,-1.352
"140",-1.1977,-0.0394,-0.1857,0.0315,-1.3521
"141",-1.1977,-0.0394,-0.1857,0.0315,-1.3522
"142",-0.2838,-0.0229,-0.0449,0.0158,-0.3192
"143",-0.2828,-0.0228,-0.0448,0.0158,-0.3179
"144",-0.2931,-0.0232,-0.0454,0.0159,-0.331
"145",-0.2843,-0.0229,-0.0449,0.0158,-0.3198
"146",-4.6082,-0.0574,-0.6439,0.0511,-5.3615
"147",-1.1944,-0.0393,-0.1853,0.0315,-1.3486
"148",-1.1718,-0.0391,-0.1828,0.0313,-1.3235
"149",-1.1965,-0.0393,-0.1855,0.0315,-1.351
"150",-1.1933,-0.0393,-0.1851,0.0315,-1.3474
"151",-0.2893,-0.0231,-0.0444,0.0157,-0.3284
"152",-0.2892,-0.0231,-0.0444,0.0157,-0.3283
"153",-0.2885,-0.023,-0.0445,0.0157,-0.3271
"154",-4.8934,-0.0582,-0.6833,0.052,-5.693
"155",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"156",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"157",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"158",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"159",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"160",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"161",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"162",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"163",-4.8934,-0.0582,-0.6833,0.052,-5.693
"164",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"165",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"166",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"167",-1.2917,-0.0403,-0.2001,0.0324,-1.458
"168",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"169",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"170",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
"171",-0.3143,-0.0239,-0.0497,0.0167,-0.3537
